0,train,0.3046,0.6558
0,val,6.4842,0.0000
1,train,0.2878,0.8952
1,val,9.0428,0.0000
2,train,0.3831,0.9261
2,val,9.4930,0.0000
3,train,0.4777,0.9235
3,val,13.3734,0.0000
4,train,0.3810,0.9474
4,val,11.4043,0.0000
5,train,0.3403,0.9636
5,val,9.7452,0.0000
6,train,0.3288,0.9651
6,val,10.6712,0.0000
7,train,0.2969,0.9713
7,val,9.7077,0.0000
8,train,0.2828,0.9728
8,val,9.4198,0.0000
9,train,0.2771,0.9765
9,val,9.2364,0.0000
10,train,0.2045,0.9816
10,val,8.6307,0.0000
11,train,0.1787,0.9853
11,val,8.7011,0.0000
12,train,0.1846,0.9849
12,val,8.4460,0.0000
13,train,0.1270,0.9857
13,val,8.2538,0.0000
14,train,0.1240,0.9864
14,val,8.2515,0.0000
15,train,0.1396,0.9853
15,val,8.2541,0.0000
16,train,0.1022,0.9879
16,val,8.2532,0.0000
17,train,0.1334,0.9875
17,val,8.0275,0.0000
18,train,0.1070,0.9875
18,val,8.0779,0.0000
19,train,0.1302,0.9849
19,val,7.8581,0.0000
0,train,0.3219,0.6640
0,val,7.2385,0.0000
1,train,0.2406,0.9211
1,val,8.3699,0.0000
2,train,0.3192,0.9466
2,val,9.9489,0.0000
3,train,0.3766,0.9472
3,val,11.1176,0.0000
4,train,0.3293,0.9536
4,val,10.4062,0.0000
5,train,0.3505,0.9571
5,val,11.3205,0.0000
6,train,0.2946,0.9675
6,val,10.3387,0.0000
7,train,0.3213,0.9588
7,val,10.1859,0.0000
8,train,0.2708,0.9727
8,val,9.5724,0.0000
9,train,0.2187,0.9774
9,val,9.7278,0.0000
10,train,0.2019,0.9808
10,val,9.4572,0.0000
11,train,0.1580,0.9820
11,val,9.2515,0.0000
12,train,0.1587,0.9826
12,val,9.1061,0.0000
13,train,0.1368,0.9832
13,val,8.8979,0.0000
14,train,0.1130,0.9832
14,val,8.8473,0.0000
15,train,0.1050,0.9843
15,val,8.8613,0.0000
16,train,0.1120,0.9832
16,val,8.8616,0.0000
17,train,0.0981,0.9820
17,val,8.9311,0.0000
18,train,0.1007,0.9837
18,val,8.9094,0.0000
19,train,0.0685,0.9837
19,val,8.7351,0.0000
