0,train,1.1940,0.1274
0,val,0.6666,0.3607
1,train,1.5656,0.3624
1,val,0.7327,0.4040
2,train,1.9296,0.4847
2,val,0.7538,0.4178
3,train,1.8166,0.5916
3,val,0.7659,0.4390
4,train,1.4614,0.6784
4,val,0.7748,0.4567
5,train,1.2648,0.7297
5,val,0.7819,0.4584
6,train,1.1247,0.7691
6,val,0.7869,0.4683
7,train,1.0327,0.7938
7,val,0.7829,0.4717
8,train,0.9352,0.8216
8,val,0.7760,0.4614
9,train,0.8608,0.8427
9,val,0.7808,0.4670
10,train,0.4217,0.9590
10,val,0.7988,0.5140
11,train,0.3277,0.9829
11,val,0.7994,0.5189
12,train,0.3145,0.9866
12,val,0.7975,0.5213
13,train,0.3059,0.9891
13,val,0.7977,0.5218
14,train,0.2998,0.9912
14,val,0.7989,0.5215
15,train,0.2985,0.9925
15,val,0.7995,0.5222
16,train,0.2943,0.9930
16,val,0.7981,0.5243
17,train,0.2882,0.9945
17,val,0.7992,0.5250
18,train,0.2900,0.9946
18,val,0.7953,0.5239
19,train,0.2834,0.9953
19,val,0.7932,0.5254
