7,train,0.9260,0.7692
7,val,0.9946,0.6077
8,train,0.8269,0.7915
8,val,0.9954,0.6013
9,train,0.7763,0.8088
9,val,0.9960,0.6227
10,train,0.2687,0.9378
10,val,0.9978,0.7186
11,train,0.1701,0.9650
11,val,0.9977,0.7336
12,train,0.1514,0.9712
12,val,0.9978,0.7389
13,train,0.1349,0.9772
13,val,0.9981,0.7440
14,train,0.1278,0.9805
14,val,0.9983,0.7468
15,train,0.1247,0.9815
15,val,0.9985,0.7490
16,train,0.1168,0.9840
16,val,0.9986,0.7509
17,train,0.1148,0.9859
17,val,0.9981,0.7556
18,train,0.1163,0.9865
18,val,0.9983,0.7576
19,train,0.1105,0.9876
19,val,0.9984,0.7583
