0,train,0.3964,0.5484
0,val,0.5851,0.8733
1,train,0.3757,0.8597
1,val,0.3614,0.9294
2,train,0.5235,0.8756
2,val,0.5788,0.8685
3,train,0.5432,0.9103
3,val,0.4720,0.8985
4,train,0.5029,0.9183
4,val,0.2503,0.9603
5,train,0.3940,0.9464
5,val,0.2013,0.9574
6,train,0.3716,0.9493
6,val,0.1995,0.9758
7,train,0.3648,0.9594
7,val,0.1477,0.9797
8,train,0.2945,0.9753
8,val,0.1176,0.9855
9,train,0.2924,0.9740
9,val,0.1250,0.9836
10,train,0.2913,0.9791
10,val,0.0852,0.9923
11,train,0.2603,0.9849
11,val,0.0549,0.9952
12,train,0.2153,0.9866
12,val,0.0489,0.9932
13,train,0.1991,0.9883
13,val,0.0554,0.9932
14,train,0.2090,0.9879
14,val,0.0502,0.9932
15,train,0.1615,0.9891
15,val,0.0495,0.9952
16,train,0.1655,0.9904
16,val,0.0482,0.9952
17,train,0.1485,0.9899
17,val,0.0497,0.9952
18,train,0.1478,0.9904
18,val,0.0511,0.9952
19,train,0.1634,0.9899
19,val,0.0491,0.9942
