0,train,0.0441,0.0009
0,val,0.1557,0.0001
1,train,0.1043,0.0017
1,val,0.1609,0.0015
2,train,0.1756,0.0012
2,val,0.2177,0.0015
3,train,0.2105,0.0014
3,val,0.1724,0.0017
4,train,0.2058,0.0014
4,val,0.2177,0.0013
5,train,0.2119,0.0014
5,val,0.1849,0.0016
6,train,0.2088,0.0012
6,val,0.1916,0.0016
7,train,0.2070,0.0012
7,val,0.1837,0.0000
8,train,0.2062,0.0017
8,val,0.1996,0.0040
9,train,0.2030,0.0011
9,val,0.1794,0.0015
10,train,0.1979,0.0011
10,val,0.1732,0.0016
11,train,0.2061,0.0012
11,val,0.1727,0.0017
12,train,0.2042,0.0012
12,val,0.1649,0.0015
13,train,0.1997,0.0012
13,val,0.1659,0.0015
14,train,0.1924,0.0011
14,val,0.1668,0.0015
15,train,0.1912,0.0013
15,val,0.1615,0.0011
0,train,0.2268,0.0013
0,val,0.8323,0.0036
1,train,0.4942,0.0022
1,val,0.8220,0.0006
2,train,0.7728,0.0016
2,val,0.8400,0.0005
3,train,0.8799,0.0010
3,val,0.8225,0.0001
4,train,0.8768,0.0007
4,val,0.8282,0.0000
5,train,0.9064,0.0008
5,val,0.8095,0.0025
0,train,0.0150,0.0015
0,val,0.0448,0.0009
1,train,0.0284,0.0012
1,val,0.0379,0.0018
2,train,0.0416,0.0013
2,val,0.0407,0.0003
3,train,0.0481,0.0012
3,val,0.0404,0.0013
4,train,0.0500,0.0015
4,val,0.0475,0.0009
5,train,0.0476,0.0015
5,val,0.0365,0.0008
6,train,0.0477,0.0015
6,val,0.0361,0.0005
7,train,0.0462,0.0019
7,val,0.0394,0.0018
8,train,0.0464,0.0018
8,val,0.0391,0.0020
9,train,0.0453,0.0022
9,val,0.0378,0.0026
10,train,0.0415,0.0030
10,val,0.0342,0.0034
11,train,0.0403,0.0032
11,val,0.0333,0.0046
12,train,0.0442,0.0038
12,val,0.0308,0.0042
13,train,0.0381,0.0034
13,val,0.0316,0.0041
14,train,0.0405,0.0040
14,val,0.0315,0.0046
15,train,0.0383,0.0036
15,val,0.0282,0.0045
16,train,0.0372,0.0033
16,val,0.0285,0.0032
17,train,0.0354,0.0034
17,val,0.0291,0.0044
18,train,0.0361,0.0034
18,val,0.0282,0.0041
19,train,0.0379,0.0032
19,val,0.0318,0.0034
20,train,0.0345,0.0030
20,val,0.0290,0.0032
21,train,0.0377,0.0030
21,val,0.0281,0.0033
22,train,0.0363,0.0030
22,val,0.0278,0.0034
23,train,0.0349,0.0033
23,val,0.0271,0.0036
24,train,0.0308,0.0029
24,val,0.0267,0.0036
25,train,0.0348,0.0031
25,val,0.0265,0.0036
26,train,0.0352,0.0033
26,val,0.0263,0.0034
27,train,0.0326,0.0032
27,val,0.0265,0.0036
28,train,0.0352,0.0036
28,val,0.0265,0.0032
29,train,0.0331,0.0032
29,val,0.0264,0.0034
0,train,0.0650,0.0019
0,val,0.2205,0.0017
1,train,0.1405,0.0015
1,val,0.2325,0.0003
2,train,0.2223,0.0015
2,val,0.2295,0.0013
3,train,0.2553,0.0028
3,val,0.2316,0.0016
4,train,0.2547,0.0025
4,val,0.2041,0.0022
5,train,0.2490,0.0018
5,val,0.2279,0.0023
6,train,0.2506,0.0020
6,val,0.2063,0.0023
7,train,0.2488,0.0022
7,val,0.1964,0.0013
8,train,0.2489,0.0019
8,val,0.1982,0.0008
9,train,0.2441,0.0012
9,val,0.2299,0.0038
0,train,0.0059,0.0054
0,val,0.0043,0.0060
1,train,0.0009,0.0058
1,val,0.0011,0.0060
2,train,0.0005,0.0058
2,val,0.0005,0.0060
3,train,0.0003,0.0058
3,val,0.0002,0.0060
0,train,0.0063,0.0019
0,val,0.0049,0.0013
1,train,0.0010,0.0013
1,val,0.0011,0.0011
2,train,0.0005,0.0013
2,val,0.0004,0.0011
3,train,0.0003,0.0013
3,val,0.0002,0.0011
4,train,0.0001,0.0013
4,val,0.0001,0.0011
5,train,0.0001,0.0013
5,val,0.0001,0.0011
6,train,0.0001,0.0013
6,val,0.0001,0.0011
0,train,0.0679,0.0015
0,val,0.2368,0.0011
0,train,0.1126,0.0011
0,val,0.4045,0.0009
1,train,0.2450,0.0010
1,val,0.4029,0.0009
2,train,0.3721,0.0010
2,val,0.4026,0.0009
3,train,0.4237,0.0010
3,val,0.4025,0.0009
4,train,0.4351,0.0010
4,val,0.4024,0.0009
5,train,0.4139,0.0010
5,val,0.4024,0.0009
6,train,0.4337,0.0010
6,val,0.4024,0.0009
7,train,0.4213,0.0010
7,val,0.4024,0.0009
8,train,0.4433,0.0010
8,val,0.4024,0.0009
9,train,0.4337,0.0010
9,val,0.4024,0.0009
0,train,0.0010,0.0017
0,val,0.0050,0.0016
1,train,0.0039,0.0020
1,val,0.0210,0.0032
2,train,0.0173,0.0016
2,val,0.0479,0.0033
3,train,0.0233,0.0014
3,val,0.0403,0.0007
4,train,0.0207,0.0010
4,val,0.0344,0.0016
5,train,0.0182,0.0010
5,val,0.0353,0.0011
6,train,0.0219,0.0013
6,val,0.0383,0.0009
7,train,0.0211,0.0012
7,val,0.0339,0.0014
8,train,0.0218,0.0018
8,val,0.0349,0.0011
9,train,0.0193,0.0014
9,val,0.0280,0.0047
0,train,0.0010,0.0016
0,val,0.0053,0.0021
1,train,0.0030,0.0019
1,val,0.0298,0.0022
2,train,0.0187,0.0012
2,val,0.0312,0.0028
3,train,0.0203,0.0018
3,val,0.0349,0.0028
4,train,0.0197,0.0018
4,val,0.0302,0.0018
5,train,0.0241,0.0016
5,val,0.0380,0.0022
6,train,0.0230,0.0015
6,val,0.0374,0.0010
7,train,0.0229,0.0022
7,val,0.0484,0.0018
8,train,0.0265,0.0017
8,val,0.0341,0.0024
9,train,0.0238,0.0017
9,val,0.0334,0.0014
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
2,train,0.0000,0.0000
2,val,0.0000,0.0000
3,train,0.0000,0.0000
3,val,0.0000,0.0000
4,train,0.0000,0.0000
4,val,0.0000,0.0000
5,train,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
2,train,0.0000,0.0000
2,val,0.0000,0.0000
3,train,0.0000,0.0000
3,val,0.0000,0.0000
4,train,0.0000,0.0000
4,val,0.0000,0.0000
5,train,0.0000,0.0000
5,val,0.0000,0.0000
6,train,0.0000,0.0000
6,val,0.0000,0.0000
7,train,0.0000,0.0000
7,val,0.0000,0.0000
8,train,0.0000,0.0000
8,val,0.0000,0.0000
9,train,0.0000,0.0000
9,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
2,train,0.0000,0.0000
2,val,0.0000,0.0000
3,train,0.0000,0.0000
3,val,0.0000,0.0000
4,train,0.0000,0.0000
4,val,0.0000,0.0000
0,train,0.0000,0.0000
0,val,0.0000,0.0000
1,train,0.0000,0.0000
1,val,0.0000,0.0000
2,train,0.0000,0.0000
2,val,0.0000,0.0000
0,train,0.0677,0.0023
0,val,0.2509,0.0026
1,train,0.1507,0.0013
1,val,0.2309,0.0017
2,train,0.2258,0.0021
2,val,0.2378,0.0007
3,train,0.2641,0.0017
3,val,0.2494,0.0006
4,train,0.2620,0.0013
4,val,0.2317,0.0003
5,train,0.2576,0.0016
5,val,0.2273,0.0010
6,train,0.2570,0.0013
6,val,0.2354,0.0020
7,train,0.2578,0.0028
7,val,0.2056,0.0023
8,train,0.2542,0.0018
8,val,0.2171,0.0023
9,train,0.2508,0.0018
9,val,0.2110,0.0028
10,train,0.2283,0.0015
10,val,0.1999,0.0016
11,train,0.2299,0.0013
11,val,0.1907,0.0011
12,train,0.2218,0.0011
12,val,0.1880,0.0014
13,train,0.2245,0.0014
13,val,0.1806,0.0017
14,train,0.2111,0.0018
14,val,0.1833,0.0008
15,train,0.2119,0.0013
15,val,0.1804,0.0014
16,train,0.2053,0.0013
16,val,0.1814,0.0006
17,train,0.2074,0.0008
17,val,0.1676,0.0002
18,train,0.1994,0.0009
18,val,0.1656,0.0005
19,train,0.2036,0.0011
19,val,0.1618,0.0001
