0,train,0.0690,0.0045
0,val,0.2533,0.0023
1,train,0.1480,0.0026
1,val,0.2382,0.0022
2,train,0.2276,0.0016
2,val,0.2219,0.0010
3,train,0.2666,0.0005
3,val,0.2127,0.0000
4,train,0.2576,0.0013
4,val,0.2529,0.0009
5,train,0.2586,0.0009
5,val,0.2358,0.0000
6,train,0.2538,0.0018
6,val,0.2451,0.0007
7,train,0.2602,0.0009
7,val,0.2148,0.0015
8,train,0.2513,0.0017
8,val,0.2228,0.0000
9,train,0.2475,0.0009
9,val,0.2298,0.0000
10,train,0.2292,0.0003
10,val,0.1929,0.0005
11,train,0.2265,0.0008
11,val,0.1901,0.0006
12,train,0.2200,0.0015
12,val,0.1901,0.0024
13,train,0.2216,0.0017
13,val,0.1835,0.0009
14,train,0.2124,0.0015
14,val,0.1763,0.0006
15,train,0.2070,0.0021
15,val,0.1753,0.0023
16,train,0.2089,0.0025
16,val,0.1696,0.0032
17,train,0.2127,0.0025
17,val,0.1650,0.0032
18,train,0.2014,0.0030
18,val,0.1541,0.0026
19,train,0.2021,0.0022
19,val,0.1563,0.0014
20,train,0.1961,0.0012
20,val,0.1541,0.0017
21,train,0.1921,0.0020
21,val,0.1505,0.0017
22,train,0.1926,0.0017
22,val,0.1504,0.0025
23,train,0.1905,0.0023
23,val,0.1501,0.0022
24,train,0.1961,0.0023
24,val,0.1497,0.0020
