vehicle_id,count,mean,std,p0013,p02,p05,p10
1,2145,0.7969908714294434,0.11571265012025833,0.46690806436538695,0.5517880868911743,0.5904824376106262,0.6302832841873169
9,20706,0.7570667266845703,0.19041669368743896,0.36170767952501776,0.44312848150730133,0.477618083357811,0.5082908272743225
36,27028,0.783965528011322,0.16092036664485931,0.44346869461238386,0.5440584099292756,0.5607750087976455,0.5773227095603943
34,5671,0.639312744140625,0.21278908848762512,0.23895071721076966,0.3103881120681763,0.35777468979358673,0.4065602421760559
7,6903,0.6917544603347778,0.15492194890975952,0.4105022871553898,0.44418065309524535,0.46443483531475066,0.48840809464454654
54,4656,0.6646508574485779,0.1677447408437729,0.24975005879253148,0.3691987156867981,0.40901514142751694,0.46109606325626373
35,7260,0.7574569582939148,0.22771711647510529,0.3555589959740639,0.401533215045929,0.4166367590427399,0.43235909640789033
8,1653,0.8423941731452942,0.10041733086109161,0.5975117800712585,0.6311200070381164,0.6549627900123596,0.6838326930999756
10,1081,0.7787774205207825,0.11271800845861435,0.5544495005607605,0.5938177466392517,0.6128170490264893,0.6364136934280396
37,1326,0.6613613367080688,0.1732751578092575,0.29005658082664015,0.391372874379158,0.43250883370637894,0.4665071368217468
11,3486,0.736170768737793,0.14174547791481018,0.4493328070044518,0.49202159941196444,0.5194515287876129,0.5444467067718506
12,1378,0.7266089916229248,0.13826273381710052,0.3609425147175789,0.4624253010749817,0.5086726367473602,0.5594092130661011
33,1027461,0.7168436646461487,0.2284988909959793,0.42040680038928985,0.447718209028244,0.4596574604511261,0.47056302428245544
13,990,0.6941255927085876,0.16997265815734863,0.3524900685369968,0.43160065591335295,0.4663990691304207,0.4872633308172226
14,1431,0.6732468605041504,0.1728096604347229,0.2794586180150509,0.3608924806118012,0.3933200538158417,0.4420567452907562
15,990,0.7517251372337341,0.14617383480072021,0.48373252622187135,0.5229169845581054,0.5555809676647187,0.5816877365112305
38,1275,0.6774927973747253,0.1694527119398117,0.3045828115403652,0.384104779958725,0.435723802447319,0.4729797005653381
17,1081,0.626671314239502,0.19693931937217712,0.26367772817611695,0.31035075187683103,0.3410301208496094,0.3688257336616516
16,2346,0.7351667284965515,0.1326296329498291,0.5147435220181942,0.5511778652667999,0.5628077834844589,0.5762395262718201
18,990,0.7265963554382324,0.14232930541038513,0.3630579643279314,0.45280733168125153,0.49291673600673674,0.5403093695640564
55,946,0.7404707670211792,0.14773254096508026,0.47503821597993373,0.5127351582050323,0.5294841229915619,0.5534939169883728
39,820,0.7730156183242798,0.12131310254335403,0.5425335545957088,0.5905541729927063,0.6098528921604156,0.6315088093280792
