camera_a,camera_b,count,mean,std,p0013,p02,p05
S01c003,S01c002,222094,0.6058505951071532,0.11232945181230732,0.1066400780826807,0.36152374029159545,0.4103304028511047
S01c003,S01c004,777949,0.5151748668378456,0.08156180330954999,0.1966349059998989,0.35982191801071167,0.42428937554359436
S01c002,S01c004,393583,0.5921814748559983,0.12987844354517183,0.16625751549601556,0.3055989348888397,0.3614059954881668
S01c003,S01c001,257384,0.582229798037737,0.13582692948471387,0.1233634178072214,0.32121776819229125,0.37120967358350754
S01c001,S01c002,231777,0.5729644758998428,0.11687356423697123,0.2343981691598892,0.33219537258148196,0.37811554670333863
S01c001,S01c004,107559,0.6357553808685477,0.1207332573057804,0.18175468745529652,0.34521713733673093,0.41346185505390165
