vehicle_id,camera_ids,mean_diff_cam,std_diff_cam,min_diff_cam,max_diff_cam
94,S01c004_S01c001,0.21948265751867738,0.08525122495109196,0.07099205566626655,0.4422165365969529
74,S01c004_S01c001,0.510884234816463,0.049250276724313015,0.4133153239084879,0.6340046853448457
27,S01c004_S01c001,0.5507632352105621,0.03548636689361863,0.4908858196879158,0.6502591171453977
73,S01c004_S01c001,0.6052205034241285,0.05778795473635522,0.45859792628994084,0.6849062974979652
93,S01c004_S01c001,0.5095760979684836,0.06374154214666361,0.36756200182364607,0.6734569555269647
71,S01c004_S01c001,0.5743724981696198,0.05614980683325357,0.395007308955817,0.6740070727241095
72,S01c004_S01c001,0.782575027606574,0.051207386640486276,0.6103215296045003,0.8703440900351188
41,S01c004_S01c001,0.40553860942096487,0.06427646668763226,0.27035311917484534,0.5473014738215205
47,S01c004_S01c001,0.6799847242163786,0.04905771159446946,0.5529448161792552,0.8015849513695367
44,S01c004_S01c001,0.8121429273381929,0.046726951484107764,0.6758678362662943,0.8963654484973426
35,S01c004_S01c001,0.4406139822081929,0.016587166407175953,0.39754089756905636,0.47796739703222724
77,S01c004_S01c001,0.7254527693510779,0.0296761900536515,0.6523238321344572,0.7905672945819834
53,S01c004_S01c001,0.8162698935480052,0.02428741376933583,0.7336212405487247,0.8533112157558324
57,S01c004_S01c001,0.6051864063087128,0.054407225220443084,0.45905212598265516,0.7034412406848416
36,S01c004_S01c001,0.775552788132954,0.04201298498403773,0.6889602580077558,0.8750424951548299
45,S01c004_S01c001,0.7454554190082102,0.07203396162747555,0.5271668608296756,0.8755848442640599
75,S01c004_S01c001,0.8057262116778827,0.0334337644442502,0.7310037565734457,0.8831434226143747
16,S01c004_S01c001,0.4903471219004274,0.07499536905270392,0.357900816615293,0.6260653465824432
46,S01c004_S01c001,0.667006132659513,0.07364338553198742,0.39911764972960967,0.7980839463139104
50,S01c004_S01c001,0.7747214068335542,0.04034910037024498,0.6735329726306768,0.8585027526029997
76,S01c004_S01c001,0.7225290323411601,0.041542921682839386,0.6364459416255385,0.8219961179571071
82,S01c004_S01c001,0.6566791642007099,0.07140975510720682,0.5541280222602069,0.8332227481378316
7,S01c004_S01c001,0.6178279786191647,0.0694251338680102,0.43861093251452266,0.7344800075075064
31,S01c004_S01c001,0.5225475257754719,0.04327948768093389,0.4186350563595319,0.6248476979655413
