camera_a,camera_b,mean_change,std_change,p0013_change,p02_change,p05_change,p10_change
S01c003,S01c002,-0.29276054311479727,0.05296891067130371,-0.26175523541420703,-0.3959585827589035,-0.3984389066696168,-0.34771833419799814
S01c003,S01c004,-0.4267112514261532,-0.00024693186503436937,-0.12257002289742253,-0.27262041330337544,-0.3283630713820458,-0.4032599806785588
S01c002,S01c004,-0.29119165358685173,0.042353557316902754,-0.2425078022539618,-0.3136924868822099,-0.34563348442316033,-0.35829150676727295
S01c003,S01c001,-0.2754443999297138,0.05942047669543035,-0.20202178636938334,-0.3340729558467867,-0.35689420551061635,-0.3878951728343967
S01c001,S01c002,-0.3177960879428091,0.054815044108442845,-0.23941202905178055,-0.3504851019382478,-0.3709983587265015,-0.3832920670509338
S01c001,S01c004,-0.2613238885865068,0.03689600127479095,-0.2329675098359586,-0.2898943513631824,-0.3321031928062438,-0.3212813735008243
