camera_a,camera_b,count,mean,std,p0013,p02,p05,p10
S01c003,S01c002,94831,0.6538235544690127,0.11509850515355706,0.2970572955310345,0.366681969165802,0.4022492915391922,0.5261856913566589
S01c003,S01c004,581129,0.5169245618119328,0.07166060592349394,0.39872189078330994,0.4393613266944885,0.45091864466667175,0.46069209575653075
S01c002,S01c004,129405,0.6555605589056083,0.0926625558171518,0.36298203976154325,0.47055606365203856,0.5050160169601441,0.5346972942352295
S01c003,S01c001,86266,0.6526564177814647,0.1415764827788044,0.2667176273912191,0.3448458343744278,0.3825879320502281,0.43934503197669983
S01c001,S01c002,80735,0.6134211290227435,0.11537251090353765,0.3135253130435944,0.4007004988193512,0.43985156416893006,0.4729848623275757
S01c001,S01c004,64836,0.6669450440333218,0.1072314113761607,0.2824492149949074,0.41063243746757505,0.4573402479290962,0.5250436067581177
