vehicle_id,camera_id,count,mean,std,p0013,p02,p05,p10
1,S01c003,91,0.948925256729126,0.026376819238066673,0.8712080729603767,0.8825235486030578,0.9053159356117249,0.9119645953178406
1,S01c002,1035,0.793265700340271,0.11383084952831268,0.5134205423355103,0.5712555408477783,0.5962220370769501,0.6264580011367797
1,S01c004,15,0.9406944513320923,0.03873748332262039,0.8662480453968048,0.8703082728385926,0.876822006702423,0.8834890007972718
9,S01c003,9180,0.942295491695404,0.04494016617536545,0.8158715501368046,0.831568900346756,0.8434627652168274,0.8646475791931153
9,S01c001,190,0.9146243333816528,0.05806495249271393,0.7578309075891971,0.7812863886356354,0.8014528185129166,0.8207307159900665
9,S01c002,210,0.9083420038223267,0.052566204220056534,0.7541286947190762,0.7874524068832397,0.8124970138072968,0.8332417011260986
9,S01c004,351,0.9000524282455444,0.058252181857824326,0.7007228234410285,0.7535374164581299,0.7854861319065094,0.8172674179077148
36,S01c003,12246,0.9322742819786072,0.059791579842567444,0.5610565555691719,0.7808675825595855,0.8152855336666107,0.8641737997531891
36,S01c001,231,0.9203431606292725,0.04923519864678383,0.7524394223690033,0.7937266111373902,0.8186065852642059,0.8519532084465027
36,S01c002,153,0.9465182423591614,0.035186272114515305,0.8275871757030487,0.8388259863853454,0.8526007413864136,0.9084043264389038
36,S01c004,630,0.8970121741294861,0.05864100158214569,0.7235283320188522,0.7621362245082856,0.7832714140415191,0.8123490512371063
34,S01c003,406,0.9111299514770508,0.051480285823345184,0.7680762908458709,0.7933567225933075,0.8204534500837326,0.8366556465625763
34,S01c001,210,0.9293025135993958,0.03282478451728821,0.833955139786005,0.8542121934890747,0.8679948717355728,0.8867410898208619
34,S01c002,45,0.9165189266204834,0.0546850822865963,0.7781797534942627,0.7903519558906555,0.8279498100280762,0.8461716413497925
34,S01c004,1081,0.9308403134346008,0.04679501801729202,0.7317402365207673,0.7655882239341736,0.8432717323303223,0.8756887316703796
7,S01c003,406,0.8822043538093567,0.07590329647064209,0.6518863991498948,0.689471447467804,0.7267042398452759,0.7704222202301025
7,S01c001,231,0.8657300472259521,0.07032141089439392,0.6738200079202652,0.7160924077033997,0.7387394309043884,0.775453507900238
7,S01c002,45,0.8794420957565308,0.0886189267039299,0.6932359998464585,0.7095376467704773,0.7147221684455871,0.743073844909668
7,S01c004,1596,0.852269172668457,0.12215866893529892,0.44519859996438027,0.4830644905567169,0.552137941122055,0.6638228893280029
54,S01c003,378,0.9079814553260803,0.045764390379190445,0.7662562511801719,0.7938127243518829,0.8253823459148407,0.8444745182991028
